nameLabel,seriesLabel,plateformLabel,pub_year,publisherLabel,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Retro City Rampage,,PlayStation 3,2012,D3 Publisher,,http://www.retrocityrampage.com/,Teen,PEGI 12,,3aa0a382-4a6c-44a2-893c-ddf535bb3bc8
Retro City Rampage,,PlayStation 3,2014,D3 Publisher,,http://www.retrocityrampage.com/,Teen,PEGI 12,,3aa0a382-4a6c-44a2-893c-ddf535bb3bc8
Scooby-Doo! Unmasked,,PlayStation 2,2005,THQ,Behaviour Interactive,,Everyone,PEGI 3,,
Scooby-Doo! Unmasked,,Xbox,2005,THQ,Behaviour Interactive,,Everyone,PEGI 3,,
SD Gundam: Scad Hammers,,Wii,2006,Namco Bandai Holdings,Bandai,,,,,
Heavy Rain,,PlayStation 3,2010,Sony Interactive Entertainment,Quantic Dream,http://www.quanticdream.com/en/#!/en/category/heavy-rain,Mature 17+,PEGI 18,,
Heavy Rain,,PlayStation 3,2010,Sony Interactive Entertainment,Quantic Dream,http://www.quanticdream.com/en/#!/en/category/heavy-rain,Mature 17+,PEGI 18,,
Heavy Rain,,PlayStation 3,2010,Sony Interactive Entertainment,Quantic Dream,http://www.quanticdream.com/en/#!/en/category/heavy-rain,Mature 17+,PEGI 18,,
Battlefield: Bad Company,Battlefield,PlayStation 3,2008,Electronic Arts,Digital Illusions Creative Entertainment,http://badcompany.ea.com/,Teen,PEGI 16,,
Battlefield: Bad Company,Battlefield,Xbox 360,2008,Electronic Arts,Digital Illusions Creative Entertainment,http://badcompany.ea.com/,Teen,PEGI 16,,
Battlefield: Bad Company,Battlefield,PlayStation 3,2008,Electronic Arts,Digital Illusions Creative Entertainment,http://badcompany.ea.com/,Teen,PEGI 16,,
Battlefield: Bad Company,Battlefield,Xbox 360,2008,Electronic Arts,Digital Illusions Creative Entertainment,http://badcompany.ea.com/,Teen,PEGI 16,,
Alice : Retour au pays de la folie,,PlayStation 3,2011,Electronic Arts,Spicy Horse,http://www.ea.com/alice,Mature 17+,PEGI 18,,
Alice : Retour au pays de la folie,,Xbox 360,2011,Electronic Arts,Spicy Horse,http://www.ea.com/alice,Mature 17+,PEGI 18,,
Aliens: Colonial Marines,,PlayStation 3,2013,Sega,Gearbox Software,,Mature 17+,PEGI 18,,
Aliens: Colonial Marines,,Xbox 360,2013,Sega,Gearbox Software,,Mature 17+,PEGI 18,,
Aliens: Colonial Marines,,PlayStation 3,2013,Sega,Nerve Software,,Mature 17+,PEGI 18,,
Aliens: Colonial Marines,,Xbox 360,2013,Sega,Nerve Software,,Mature 17+,PEGI 18,,
Aliens: Colonial Marines,,PlayStation 3,2013,Sega,TimeGate Studios,,Mature 17+,PEGI 18,,
Aliens: Colonial Marines,,Xbox 360,2013,Sega,TimeGate Studios,,Mature 17+,PEGI 18,,
Aliens: Colonial Marines,,PlayStation 3,2013,Sega,Demiurge Studios,,Mature 17+,PEGI 18,,
Aliens: Colonial Marines,,Xbox 360,2013,Sega,Demiurge Studios,,Mature 17+,PEGI 18,,
Twisted Metal: Head-On,Twisted Metal,PlayStation 2,2005,Sony Interactive Entertainment,Incognito Entertainment,http://games.yourpsp.com/twisted-metal/,Teen,PEGI 12,,
